,name,length,Left extract,long/short name,CONCATENATE,Upper case name,Lower case,Proper function,avg_rating,corrected rating,New corrected reationg,review in K,reviews_count,and,or,company_type,,Head_Quarters,,Company_Age,COMPANY DETAIL,No_of_Employee
2918,Applied Materials,17,App,longname,Applied Materials Is great,APPLIED MATERIALS,applied materials,Applied Materials,4.2,4.2,4.2,138 Reviews),0,0,TRUE,Private,0,"Santa Clara,California + 6 more",FALSE,20,Establish,10k-50k employees Global)
2919,AVAYA,5,AVA,short name,AVAYA Is great,AVAYA,avaya,Avaya,3.9,3.9,3.9,138 Reviews),0,0,FALSE,Private,0,"Santa Clara,California + 7 more",FALSE,22,Establish,5k-10k employees Global)
2920,VAYA Finserv,12,VAY,longname,VAYA Finserv Is great,VAYA FINSERV,vaya finserv,Vaya Finserv,4.3,4.3,4.3,138 Reviews),0,0,TRUE,"Hyderabad/Secunderabad,Telangana + 34 more",0,8,FALSE,1k-5k employees India),Establish,
2921,SISL Infotech,13,SIS,longname,SISL Infotech Is great,SISL INFOTECH,sisl infotech,Sisl Infotech,3.7,3.7,3.7,138 Reviews),0,0,FALSE,Private,0,"Delhi/NCR,Delhi + 29 more",FALSE,15,Establish,501-1k employees India)
2922,Bsh Household Appl...,21,Bsh,longname,Bsh Household Appl... Is great,BSH HOUSEHOLD APPL...,bsh household appl...,Bsh Household Appl...,4.1,4.1,4.1,138 Reviews),0,0,TRUE,"Munich,Munich + 25 more",0,55,FALSE,501-1k employees India),Establish,
2923,Caratlane Trading,17,Car,longname,Caratlane Trading Is great,CARATLANE TRADING,caratlane trading,Caratlane Trading,3.9,3.9,3.9,138 Reviews),0,0,FALSE,Private,0,"Chennai,Tamil Nadu + 15 more",FALSE,14,Establish,501-1k employees India)
2924,DBOI Global Servic...,21,DBO,longname,DBOI Global Servic... Is great,DBOI GLOBAL SERVIC...,dboi global servic...,Dboi Global Servic...,4.2,4.2,4.2,138 Reviews),0,0,TRUE,Private,0,"Mumbai,Maharashtra + 5 more",TRUE,42,Establish,10k-50k employees Global)
2925,ETV Network,11,ETV,longname,ETV Network Is great,ETV NETWORK,etv network,Etv Network,3.6,3.6,3.6,138 Reviews),0,0,FALSE,Private,0,"Hyderabad/Secunderabad,Telangana + 11 more",FALSE,27,Establish,5k-10k employees Global)
2926,CTDI,4,CTD,short name,CTDI Is great,CTDI,ctdi,Ctdi,3.9,3.9,3.9,138 Reviews),0,0,FALSE,Private,0,"West Chester,Pennsylvania + 12 more",FALSE,47,Establish,201-500 employees India)
2927,BMA Wealth Creator...,21,BMA,longname,BMA Wealth Creator... Is great,BMA WEALTH CREATOR...,bma wealth creator...,Bma Wealth Creator...,3.4,3.4,3.4,138 Reviews),0,0,FALSE,Private,0,"Kolkata,West Bengal + 30 more",FALSE,17,Establish,5k-10k employees Global)
2928,Empower Pragati,15,Emp,longname,Empower Pragati Is great,EMPOWER PRAGATI,empower pragati,Empower Pragati,3.5,3.5,3.5,138 Reviews),0,0,FALSE,Private,0,"Delhi/NCR,New Delhi + 41 more",FALSE,12,Establish,1k-5k employees Global)
2929,Wonderla Holidays,17,Won,longname,Wonderla Holidays Is great,WONDERLA HOLIDAYS,wonderla holidays,Wonderla Holidays,4.3,4.3,4.3,138 Reviews),0,0,TRUE,Public,0,"Bangalore/Bengaluru,Karnataka + 9 more",TRUE,22,Establish,501-1k employees India)
2930,Incrementors Web S...,21,Inc,longname,Incrementors Web S... Is great,INCREMENTORS WEB S...,incrementors web s...,Incrementors Web S...,4.5,4.5,4.5,138 Reviews),0,0,TRUE,Private,0,New Delhi,FALSE,51-200 employees India),Establish,
2931,RA Chem Pharma,14,RA ,longname,RA Chem Pharma Is great,RA CHEM PHARMA,ra chem pharma,Ra Chem Pharma,4.1,4.1,4.1,138 Reviews),0,0,TRUE,Private,0,"Hyderabad/Secunderabad,Telangana + 5 more",FALSE,26,Establish,201-500 employees India)
2932,Liberty Shoes,13,Lib,longname,Liberty Shoes Is great,LIBERTY SHOES,liberty shoes,Liberty Shoes,3.8,3.8,3.8,138 Reviews),0,0,FALSE,Public,0,"Gurgaon/Gurugram,Haryana + 31 more",FALSE,68,Establish,1k-5k employees Global)
2933,Ciena,5,Cie,short name,Ciena Is great,CIENA,ciena,Ciena,4.2,4.2,4.2,138 Reviews),0,0,TRUE,Private,0,"Hanover,Maryland + 8 more",FALSE,30,Establish,1k-5k employees India)
2934,Technofab Engineer...,21,Tec,longname,Technofab Engineer... Is great,TECHNOFAB ENGINEER...,technofab engineer...,Technofab Engineer...,3.9,3.9,3.9,138 Reviews),0,0,FALSE,Public,0,"Delhi/NCR,Delhi + 14 more",FALSE,51,Establish,201-500 employees India)
2935,Cooper-Standard Au...,21,Coo,longname,Cooper-Standard Au... Is great,COOPER-STANDARD AU...,cooper-standard au...,Cooper-Standard Au...,3.8,3.8,3.8,138 Reviews),0,0,FALSE,Public,0,"Northville,Michigan + 11 more",FALSE,62,Establish,201-500 employees India)
2936,ASUS,4,ASU,short name,ASUS Is great,ASUS,asus,Asus,4.2,4.2,4.2,138 Reviews),0,0,TRUE,Private,0,"Beitou District,Taipei + 37 more",FALSE,33,Establish,501-1k employees India)
2937,Spm Autocomp,12,Spm,longname,Spm Autocomp Is great,SPM AUTOCOMP,spm autocomp,Spm Autocomp,3.1,3.1,3.1,138 Reviews),0,0,FALSE,Private,0,"Gurgaon/Gurugram,Haryana + 6 more",FALSE,27,Establish,201-500 employees Global)
2938,Harley-Davidson,15,Har,longname,Harley-Davidson Is great,HARLEY-DAVIDSON,harley-davidson,Harley-Davidson,4.3,4.3,4.3,137 Reviews),0,0,TRUE,Private,0,"Milwaukee,Wisconsin + 25 more",FALSE,119,Establish,5k-10k employees Global)
2939,Bhavani Industries,18,Bha,longname,Bhavani Industries Is great,BHAVANI INDUSTRIES,bhavani industries,Bhavani Industries,3.8,3.8,3.8,137 Reviews),0,0,FALSE,Private,0,"Bangalore/Bengaluru,Karnataka + 10 more",TRUE,35,Establish,201-500 employees Global)
2940,VST Industries,14,VST,longname,VST Industries Is great,VST INDUSTRIES,vst industries,Vst Industries,4.4,4.4,4.4,137 Reviews),0,0,TRUE,Public,0,"Hyderabad/Secunderabad,Telangana + 41 more",FALSE,92,Establish,501-1k employees India)
2941,Mytrah Energy,13,Myt,longname,Mytrah Energy Is great,MYTRAH ENERGY,mytrah energy,Mytrah Energy,3.8,3.8,3.8,137 Reviews),0,0,FALSE,Private,0,"Hyderabad/Secunderabad,Telangana + 6 more",FALSE,13,Establish,201-500 employees India)
2942,Jyoti Structures,16,Jyo,longname,Jyoti Structures Is great,JYOTI STRUCTURES,jyoti structures,Jyoti Structures,4.1,4.1,4.1,137 Reviews),0,0,TRUE,Public,0,Mumbai + 25 more,TRUE,48,Establish,1k-5k employees Global)
2943,Franchise India Br...,21,Fra,longname,Franchise India Br... Is great,FRANCHISE INDIA BR...,franchise india br...,Franchise India Br...,2.1,2.1,2.1,137 Reviews),0,0,FALSE,Private,0,"New Delhi,Delhi + 19 more",FALSE,23,Establish,201-500 employees Global)
2944,Wings Biotech,13,Win,longname,Wings Biotech Is great,WINGS BIOTECH,wings biotech,Wings Biotech,3.5,3.5,3.5,137 Reviews),0,0,FALSE,Public,0,"Delhi/NCR,Delhi + 26 more",FALSE,36,Establish,1k-5k employees Global)
2945,Pon Pure Chemical,17,Pon,longname,Pon Pure Chemical Is great,PON PURE CHEMICAL,pon pure chemical,Pon Pure Chemical,3.8,3.8,3.8,137 Reviews),0,0,FALSE,Private,0,"Chennai,Tamil Nadu + 24 more",FALSE,41,Establish,501-1k employees India)
2946,Doubletree By Hilt...,21,Dou,longname,Doubletree By Hilt... Is great,DOUBLETREE BY HILT...,doubletree by hilt...,Doubletree By Hilt...,4,4,4,137 Reviews),0,0,FALSE,Virginia + 16 more,0,53,FALSE,5k-10k employees Global),Establish,
2947,Peter England,13,Pet,longname,Peter England Is great,PETER ENGLAND,peter england,Peter England,4.2,4.2,4.2,137 Reviews),0,0,TRUE,Private,0,Londonderry + 55 more,FALSE,133,Establish,501-1k employees Global)
2948,Core Integra Consu...,21,Cor,longname,Core Integra Consu... Is great,CORE INTEGRA CONSU...,core integra consu...,Core Integra Consu...,3.7,3.7,3.7,137 Reviews),0,0,FALSE,Private,0,"Mumbai,Maharashtra + 36 more",TRUE,11,Establish,1k-5k employees Global)
2949,AIG Business Solut...,21,AIG,longname,AIG Business Solut... Is great,AIG BUSINESS SOLUT...,aig business solut...,Aig Business Solut...,4.5,4.6,5,137 Reviews),0,0,TRUE,Private,0,"Gurgaon/Gurugram,Haryana + 4 more",FALSE,9,Startup,51-200 employees India)
2950,Kalyani Forge,13,Kal,longname,Kalyani Forge Is great,KALYANI FORGE,kalyani forge,Kalyani Forge,3.5,3.5,3.5,137 Reviews),0,0,FALSE,Public,0,"Pune,Maharashtra + 1 more",FALSE,43,Establish,501-1k employees India)
2951,SVC Co-Operative B...,21,SVC,longname,SVC Co-Operative B... Is great,SVC CO-OPERATIVE B...,svc co-operative b...,Svc Co-Operative B...,3.8,3.8,3.8,137 Reviews),0,0,FALSE,Private,0,"Mumbai,Maharashtra + 23 more",TRUE,116,Establish,501-1k employees India)
2952,Jockey,6,Joc,short name,Jockey Is great,JOCKEY,jockey,Jockey,4,4,4,137 Reviews),0,0,FALSE,Private,0,Kenosha + 51 more,FALSE,146,Establish,10k-50k employees India)
2953,Valvoline Cummins,17,Val,longname,Valvoline Cummins Is great,VALVOLINE CUMMINS,valvoline cummins,Valvoline Cummins,4,4,4,137 Reviews),0,0,FALSE,Private,0,"Gurgaon/Gurugram,Haryana + 35 more",FALSE,24,Establish,201-500 employees India)
2954,Asian Institute of...,21,Asi,longname,Asian Institute of... Is great,ASIAN INSTITUTE OF...,asian institute of...,Asian Institute Of...,4.2,4.2,4.2,137 Reviews),0,0,TRUE,Private,0,"Faridabad,Haryana + 12 more",FALSE,12,Establish,1k-5k employees India)
2955,Sunwoda,7,Sun,short name,Sunwoda Is great,SUNWODA,sunwoda,Sunwoda,4.3,4.3,4.3,137 Reviews),0,0,TRUE,Private,0,"Greater Noida,Uttar Pradesh + 3 more",FALSE,25,Establish,201-500 employees India)
2956,Sekisui Dljm Moldi...,21,Sek,longname,Sekisui Dljm Moldi... Is great,SEKISUI DLJM MOLDI...,sekisui dljm moldi...,Sekisui Dljm Moldi...,4,4,4,137 Reviews),0,0,FALSE,JV,0,"Gurgaon/Gurugram,Haryana + 11 more",FALSE,11,Establish,501-1k employees Global)
2957,Pathkind Diagnosti...,21,Pat,longname,Pathkind Diagnosti... Is great,PATHKIND DIAGNOSTI...,pathkind diagnosti...,Pathkind Diagnosti...,3.7,3.8,4.2,137 Reviews),0,0,TRUE,Private,0,"Gurgaon/Gurugram,Haryana + 36 more",FALSE,6,Startup,501-1k employees Global)
2958,Vem Technologies,16,Vem,longname,Vem Technologies Is great,VEM TECHNOLOGIES,vem technologies,Vem Technologies,3.8,3.8,3.8,137 Reviews),0,0,FALSE,Private,0,"Hyderabad/Secunderabad,Telangana",FALSE,29,Establish,501-1k employees Global)
2959,Cameo Corporate Se...,21,Cam,longname,Cameo Corporate Se... Is great,CAMEO CORPORATE SE...,cameo corporate se...,Cameo Corporate Se...,3.2,3.2,3.2,137 Reviews),0,0,FALSE,Private,0,"Chennai,Tamil Nadu + 11 more",FALSE,37,Establish,201-500 employees Global)
2960,Ozone Overseas,14,Ozo,longname,Ozone Overseas Is great,OZONE OVERSEAS,ozone overseas,Ozone Overseas,3.5,3.5,3.5,137 Reviews),0,0,FALSE,Private,0,"Delhi/NCR,Delhi + 16 more",FALSE,22,Establish,201-500 employees Global)
2961,Air Liquide,11,Air,longname,Air Liquide Is great,AIR LIQUIDE,air liquide,Air Liquide,4.3,4.3,4.3,158 Reviews),0,0,TRUE,Paris + 17 more,0,120,FALSE,201-500 employees India),Establish,
2962,Piramal Glass,13,Pir,longname,Piramal Glass Is great,PIRAMAL GLASS,piramal glass,Piramal Glass,4.2,4.2,4.2,136 Reviews),0,0,TRUE,Private,0,"Mumbai,Maharashtra + 6 more",TRUE,38,Establish,501-1k employees India)
2963,Vision India Servi...,21,Vis,longname,Vision India Servi... Is great,VISION INDIA SERVI...,vision india servi...,Vision India Servi...,4.2,4.2,4.2,136 Reviews),0,0,TRUE,Private,0,New Delhi + 39 more,FALSE,14,Establish,501-1k employees Global)
2964,CNS Comnet,10,CNS,short name,CNS Comnet Is great,CNS COMNET,cns comnet,Cns Comnet,3.8,3.8,3.8,136 Reviews),0,0,FALSE,Private,0,"Gurgaon/Gurugram,Haryana + 4 more",FALSE,17,Establish,5k-10k employees Global)
2965,Jubilant Agri and ...,21,Jub,longname,Jubilant Agri and ... Is great,JUBILANT AGRI AND ...,jubilant agri and ...,Jubilant Agri And ...,3.9,3.9,3.9,136 Reviews),0,0,FALSE,Private,0,Noida + 27 more,FALSE,12,Establish,201-500 employees India)
2966,Cenveo Publisher S...,21,Cen,longname,Cenveo Publisher S... Is great,CENVEO PUBLISHER S...,cenveo publisher s...,Cenveo Publisher S...,3.4,3.4,3.4,136 Reviews),0,0,FALSE,Private,0,"Richmond,Verginia + 5 more",FALSE,19,Establish,5k-10k employees Global)
2967,TIDC India,10,TID,short name,TIDC India Is great,TIDC INDIA,tidc india,Tidc India,4,4,4,136 Reviews),0,0,FALSE,Private,0,"Chennai,Tamil Nadu + 16 more",FALSE,62,Establish,5k-10k employees India)
2968,Dun & Bradstreet,16,Dun,longname,Dun & Bradstreet Is great,DUN & BRADSTREET,dun & bradstreet,Dun & Bradstreet,3.7,3.7,3.7,136 Reviews),0,0,FALSE,Private,0,"Milburn,New Jersey + 9 more",FALSE,27,Establish,201-500 employees India)
2969,National Engineeri...,21,Nat,longname,National Engineeri... Is great,NATIONAL ENGINEERI...,national engineeri...,National Engineeri...,3.9,3.9,3.9,136 Reviews),0,0,FALSE,"Jaipur,Rajasthan + 15 more",0,76,FALSE,1k-5k employees India),Establish,
2970,OnMobile Global,15,OnM,longname,OnMobile Global Is great,ONMOBILE GLOBAL,onmobile global,Onmobile Global,4.1,4.1,4.1,136 Reviews),0,0,TRUE,Private,0,Bangalore + 10 more,TRUE,22,Establish,1k-5k employees Global)
2971,British Biological...,21,Bri,longname,British Biological... Is great,BRITISH BIOLOGICAL...,british biological...,British Biological...,3.4,3.4,3.4,136 Reviews),0,0,FALSE,Private,0,"Bangalore/Bengaluru,Karnataka + 29 more",TRUE,34,Establish,1k-5k employees Global)
2972,Jubilant Agri and ...,21,Jub,longname,Jubilant Agri and ... Is great,JUBILANT AGRI AND ...,jubilant agri and ...,Jubilant Agri And ...,3.9,3.9,3.9,136 Reviews),0,0,FALSE,Private,0,Noida + 27 more,FALSE,12,Establish,201-500 employees India)
2973,Hygienic Research ...,21,Hyg,longname,Hygienic Research ... Is great,HYGIENIC RESEARCH ...,hygienic research ...,Hygienic Research ...,4.3,4.3,4.3,136 Reviews),0,0,TRUE,Private,0,"Mumbai,Maharashtra + 23 more",TRUE,65,Establish,201-500 employees India)
2974,S&P Capital IQ,14,S&P,longname,S&P Capital IQ Is great,S&P CAPITAL IQ,s&p capital iq,S&P Capital Iq,3.8,3.8,3.8,136 Reviews),0,0,FALSE,Private,0,"New York,New York + 2 more",FALSE,24,Establish,10k-50k employees India)
2975,Towell Engineering...,21,Tow,longname,Towell Engineering... Is great,TOWELL ENGINEERING...,towell engineering...,Towell Engineering...,4.3,4.3,4.3,136 Reviews),0,0,TRUE,Muscat + 6 more,0,21,FALSE,51-200 employees India),Establish,
2976,Elin Appliances,15,Eli,longname,Elin Appliances Is great,ELIN APPLIANCES,elin appliances,Elin Appliances,4,4,4,136 Reviews),0,0,FALSE,Private,0,"Ghaziabad,Uttar Pradesh + 9 more",FALSE,53,Establish,51-200 employees India)
2977,Ksk Energy Venture...,21,Ksk,longname,Ksk Energy Venture... Is great,KSK ENERGY VENTURE...,ksk energy venture...,Ksk Energy Venture...,3.7,3.7,3.7,136 Reviews),0,0,FALSE,Public,0,"Hyderabad/Secunderabad,Telangana + 10 more",FALSE,21,Establish,1k-5k employees Global)
2978,Piramal Glass,13,Pir,longname,Piramal Glass Is great,PIRAMAL GLASS,piramal glass,Piramal Glass,4.2,4.2,4.2,136 Reviews),0,0,TRUE,Private,0,"Mumbai,Maharashtra + 6 more",TRUE,38,Establish,501-1k employees India)
2979,Tablets India),15,Tab,longname,Tablets India) Is great,TABLETS INDIA),tablets india),Tablets India),3.9,3.9,3.9,136 Reviews),0,0,FALSE,Private,0,"Chennai,Tamil Nadu + 24 more",FALSE,84,Establish,501-1k employees India)
2980,Trackon Courier,15,Tra,longname,Trackon Courier Is great,TRACKON COURIER,trackon courier,Trackon Courier,3.9,3.9,3.9,136 Reviews),0,0,FALSE,"Delhi/NCR,Delhi + 37 more",0,20,FALSE,10k-50k employees Global),Establish,
2981,Theme Engineering ...,21,The,longname,Theme Engineering ... Is great,THEME ENGINEERING ...,theme engineering ...,Theme Engineering ...,3.4,3.4,3.4,136 Reviews),0,0,FALSE,Private,0,"Jaipur,Rajasthan + 39 more",FALSE,20,Establish,501-1k employees Global)
2982,Vedant Fashions,15,Ved,longname,Vedant Fashions Is great,VEDANT FASHIONS,vedant fashions,Vedant Fashions,3.6,3.6,3.6,136 Reviews),0,0,FALSE,Private,0,"Kolkata,West Bengal + 26 more",FALSE,20,Establish,1k-5k employees India)
2983,Concord Biotech,15,Con,longname,Concord Biotech Is great,CONCORD BIOTECH,concord biotech,Concord Biotech,3.6,3.6,3.6,136 Reviews),0,0,FALSE,Public,0,"Ahmedabad,Gujarat + 3 more",FALSE,22,Establish,501-1k employees India)
2984,Hartek Group,12,Har,longname,Hartek Group Is great,HARTEK GROUP,hartek group,Hartek Group,3.8,3.8,3.8,136 Reviews),0,0,FALSE,Private,0,"Mohali,Punjab + 3 more",FALSE,31,Establish,51-200 employees India)
2985,ShopX,5,Sho,short name,ShopX Is great,SHOPX,shopx,Shopx,4.1,4.1,4.1,136 Reviews),0,0,TRUE,Bangalore + 27 more,0,7,FALSE,201-500 employees India),Establish,
2986,Gainwell Commosale...,21,Gai,longname,Gainwell Commosale... Is great,GAINWELL COMMOSALE...,gainwell commosale...,Gainwell Commosale...,3.8,3.8,3.8,136 Reviews),0,0,FALSE,Private,0,"Kolkata,West Bengal + 28 more",FALSE,78,Establish,1k-5k employees India)
2987,Ienergizer BPO Ser...,21,Ien,longname,Ienergizer BPO Ser... Is great,IENERGIZER BPO SER...,ienergizer bpo ser...,Ienergizer Bpo Ser...,3.6,3.7,4.1,136 Reviews),0,0,TRUE,Noida + 6 more,0,5k-10k employees India),FALSE,,Startup,
2988,CignaTTk Health In...,21,Cig,longname,CignaTTk Health In... Is great,CIGNATTK HEALTH IN...,cignattk health in...,Cignattk Health In...,3.9,3.9,4.4,136 Reviews),0,0,FALSE,Private,0,"Mumbai,Maharashtra + 30 more",TRUE,10,Startup,1k-5k employees India)
2989,Presto Infosolutio...,21,Pre,longname,Presto Infosolutio... Is great,PRESTO INFOSOLUTIO...,presto infosolutio...,Presto Infosolutio...,3.8,3.8,3.8,136 Reviews),0,0,FALSE,Private,0,"Delhi/NCR,Delhi + 32 more",FALSE,22,Establish,501-1k employees India)
2990,Onida,5,Oni,short name,Onida Is great,ONIDA,onida,Onida,4,4,4,135 Reviews),0,0,FALSE,Private,0,Mumbai + 43 more,TRUE,41,Establish,1k-5k employees Global)
2991,Van Heusen,10,Van,short name,Van Heusen Is great,VAN HEUSEN,van heusen,Van Heusen,4.2,4.2,4.2,135 Reviews),0,0,TRUE,Private,0,New York + 45 more,FALSE,101,Establish,10k-50k employees Global)
2992,JNET Technologies,17,JNE,longname,JNET Technologies Is great,JNET TECHNOLOGIES,jnet technologies,Jnet Technologies,3.9,3.9,3.9,135 Reviews),0,0,FALSE,Private,0,"Hyderabad/Secunderabad,Telangana + 20 more",FALSE,15,Establish,501-1k employees India)
2993,Bharat IT Services,18,Bha,longname,Bharat IT Services Is great,BHARAT IT SERVICES,bharat it services,Bharat It Services,3.4,3.4,3.4,135 Reviews),0,0,FALSE,Public,0,"Noida,Uttar Pradesh + 31 more",FALSE,26,Establish,501-1k employees Global)
2994,Dishman Pharmaceut...,21,Dis,longname,Dishman Pharmaceut... Is great,DISHMAN PHARMACEUT...,dishman pharmaceut...,Dishman Pharmaceut...,4.2,4.2,4.2,135 Reviews),0,0,TRUE,Public,0,Ahmedabad + 6 more,FALSE,39,Establish,201-500 employees India)
2995,Johnson Matthey,15,Joh,longname,Johnson Matthey Is great,JOHNSON MATTHEY,johnson matthey,Johnson Matthey,4.2,4.2,4.2,135 Reviews),0,0,TRUE,Private,0,London + 11 more,FALSE,205,Establish,10k-50k employees Global)
2996,People Tech Group,17,Peo,longname,People Tech Group Is great,PEOPLE TECH GROUP,people tech group,People Tech Group,3.4,3.4,3.4,135 Reviews),0,0,FALSE,Private,0,"Redmond,Washington + 3 more",FALSE,16,Establish,1k-5k employees Global)
2997,Steelman Telecom,16,Ste,longname,Steelman Telecom Is great,STEELMAN TELECOM,steelman telecom,Steelman Telecom,3.7,3.7,3.7,135 Reviews),0,0,FALSE,Private,0,"Kolkata,West Bengal + 26 more",FALSE,36,Establish,501-1k employees Global)
2998,Sub-K IMPACT Solut...,21,Sub,longname,Sub-K IMPACT Solut... Is great,SUB-K IMPACT SOLUT...,sub-k impact solut...,Sub-K Impact Solut...,4.2,4.2,4.2,135 Reviews),0,0,TRUE,Private,0,Hyderabad + 40 more,FALSE,12,Establish,1k-5k employees Global)
2999,MEDOPHARM,9,MED,short name,MEDOPHARM Is great,MEDOPHARM,medopharm,Medopharm,3.5,3.5,3.5,135 Reviews),0,0,FALSE,"Chennai,Tamil Nadu + 10 more",0,52,FALSE,1k-5k employees Global),Establish,
3000,St. John's Medical...,21,St.,longname,St. John's Medical... Is great,ST. JOHN'S MEDICAL...,st. john's medical...,St. John'S Medical...,4,4,4,135 Reviews),0,0,FALSE,Private,0,"Bangalore/Bengaluru,Karnataka + 6 more",TRUE,18,Establish,1k-5k employees India)
3001,Silverskills,12,Sil,longname,Silverskills Is great,SILVERSKILLS,silverskills,Silverskills,3.4,3.4,3.4,135 Reviews),0,0,FALSE,Private,0,"Gurgaon/Gurugram,Haryana + 4 more",FALSE,21,Establish,1k-5k employees Global)
3002,Edac Engineering,16,Eda,longname,Edac Engineering Is great,EDAC ENGINEERING,edac engineering,Edac Engineering,4,4,4,135 Reviews),0,0,FALSE,Private,0,"Chennai,Tamil Nadu + 12 more",FALSE,35,Establish,1k-5k employees India)
3003,Laxmi Organic Indu...,21,Lax,longname,Laxmi Organic Indu... Is great,LAXMI ORGANIC INDU...,laxmi organic indu...,Laxmi Organic Indu...,3.8,3.8,3.8,135 Reviews),0,0,FALSE,Public,0,"Mumbai,Maharashtra + 5 more",TRUE,30,Establish,201-500 employees India)
3004,BridgeLabz Solutio...,21,Bri,longname,BridgeLabz Solutio... Is great,BRIDGELABZ SOLUTIO...,bridgelabz solutio...,Bridgelabz Solutio...,4.2,4.2,4.2,135 Reviews),0,0,TRUE,"Mumbai,Maharashtra + 6 more",0,6,FALSE,1k-5k employees India),Establish,
3005,Yara Fertilisers,16,Yar,longname,Yara Fertilisers Is great,YARA FERTILISERS,yara fertilisers,Yara Fertilisers,3.9,3.9,3.9,135 Reviews),0,0,FALSE,Oslo + 27 more,0,117,FALSE,501-1k employees India),Establish,
3006,Lanxess,7,Lan,short name,Lanxess Is great,LANXESS,lanxess,Lanxess,4.2,4.2,4.2,135 Reviews),0,0,TRUE,Private,0,Cologne + 12 more,FALSE,18,Establish,10k-50k employees Global)
3007,Sterling Tools,14,Ste,longname,Sterling Tools Is great,STERLING TOOLS,sterling tools,Sterling Tools,3.9,3.9,3.9,135 Reviews),0,0,FALSE,Public,0,"Faridabad,Haryana + 9 more",FALSE,43,Establish,501-1k employees India)
3008,Emirates NBD,12,Emi,longname,Emirates NBD Is great,EMIRATES NBD,emirates nbd,Emirates Nbd,4.1,4.1,4.1,135 Reviews),0,0,TRUE,Public,0,"Dubai,Dubai + 6 more",FALSE,59,Establish,201-500 employees India)
3009,Magma HDI General ...,21,Mag,longname,Magma HDI General ... Is great,MAGMA HDI GENERAL ...,magma hdi general ...,Magma Hdi General ...,3.8,3.8,3.8,135 Reviews),0,0,FALSE,"Mumbai,Maharashtra + 48 more",0,10,FALSE,501-1k employees India),Establish,
3010,Paladion Networks,17,Pal,longname,Paladion Networks Is great,PALADION NETWORKS,paladion networks,Paladion Networks,3.7,3.7,3.7,135 Reviews),0,0,FALSE,Private,0,"Reston,Virginia + 3 more",FALSE,22,Establish,501-1k employees India)
3011,Creative Hands HR ...,21,Cre,longname,Creative Hands HR ... Is great,CREATIVE HANDS HR ...,creative hands hr ...,Creative Hands Hr ...,3.3,3.3,3.8,135 Reviews),0,0,FALSE,Private,0,Chennai + 26 more,FALSE,10,Startup,51-200 employees Global)
3012,Fiat Chrysler Auto...,21,Fia,longname,Fiat Chrysler Auto... Is great,FIAT CHRYSLER AUTO...,fiat chrysler auto...,Fiat Chrysler Auto...,4,4.1,4.5,433 Reviews),0,0,TRUE,Public,0,London + 10 more,FALSE,8,Startup,1k-5k employees India)
3013,Bony Polymers,13,Bon,longname,Bony Polymers Is great,BONY POLYMERS,bony polymers,Bony Polymers,4,4,4,134 Reviews),0,0,FALSE,Private,0,"Faridabad,Haryana + 8 more",FALSE,41,Establish,201-500 employees India)
3014,TRF,3,TRF,short name,TRF Is great,TRF,trf,Trf,3.4,3.4,3.4,134 Reviews),0,0,FALSE,Public,0,"Jamshedpur,Jharkhand + 11 more",FALSE,60,Establish,1k-5k employees Global)
3015,ICICI Foundation f...,21,ICI,longname,ICICI Foundation f... Is great,ICICI FOUNDATION F...,icici foundation f...,Icici Foundation F...,4,4,4,134 Reviews),0,0,FALSE,"Mumbai,Maharashtra + 41 more",0,14,FALSE,501-1k employees Global),Establish,
3016,Scope eKnowledge C...,21,Sco,longname,Scope eKnowledge C... Is great,SCOPE EKNOWLEDGE C...,scope eknowledge c...,Scope Eknowledge C...,3.7,3.7,3.7,134 Reviews),0,0,FALSE,Private,0,"Chennai,Tamil Nadu + 2 more",FALSE,35,Establish,51-200 employees Global)
3017,Premium Transmissi...,21,Pre,longname,Premium Transmissi... Is great,PREMIUM TRANSMISSI...,premium transmissi...,Premium Transmissi...,3.6,3.6,3.6,134 Reviews),0,0,FALSE,Private,0,"Pune,Maharashtra + 12 more",FALSE,61,Establish,501-1k employees India)
3018,Pitambari Products,18,Pit,longname,Pitambari Products Is great,PITAMBARI PRODUCTS,pitambari products,Pitambari Products,4.2,4.2,4.2,134 Reviews),0,0,TRUE,Private,0,"Thane,Maharashtra + 22 more",FALSE,36,Establish,201-500 employees India)
3019,AISATS,6,AIS,short name,AISATS Is great,AISATS,aisats,Aisats,4.1,4.1,4.1,134 Reviews),0,0,TRUE,Private,0,Mumbai + 6 more,TRUE,14,Establish,5k-10k employees Global)
3020,Cavisson Systems,16,Cav,longname,Cavisson Systems Is great,CAVISSON SYSTEMS,cavisson systems,Cavisson Systems,3.5,3.5,3.5,134 Reviews),0,0,FALSE,Private,0,"Santa Clara,California",FALSE,11,Establish,501-1k employees India)
3021,Themis Medicare,15,The,longname,Themis Medicare Is great,THEMIS MEDICARE,themis medicare,Themis Medicare,3.3,3.3,3.3,134 Reviews),0,0,FALSE,Public,0,"Mumbai,Maharashtra + 23 more",TRUE,53,Establish,1k-5k employees Global)
3022,Hector Beverages,16,Hec,longname,Hector Beverages Is great,HECTOR BEVERAGES,hector beverages,Hector Beverages,4.1,4.1,4.1,134 Reviews),0,0,TRUE,Private,0,"Bangalore/Bengaluru,Karnataka + 22 more",TRUE,13,Establish,501-1k employees Global)
