VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5YJ3E1EAXJ,Snohomish,Lynnwood,WA,98087,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,21,4986026,POINT (-122.27336 47.861417),PUGET SOUND ENERGY INC,53061051803
1N4BZ1CP9L,Kitsap,Bainbridge Island,WA,98110,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,23,103453059,POINT (-122.5305071 47.6400595),PUGET SOUND ENERGY INC,53035090700
5YJ3E1EA1J,King,Redmond,WA,98053,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,45,474443847,POINT (-122.030684 47.669552),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032333
1FADP5CU3F,Snohomish,Everett,WA,98208,2015,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,44,132854627,POINT (-122.2032349 47.8956271),PUGET SOUND ENERGY INC,53061041701
WBY1Z2C54F,Grant,Moses Lake,WA,98837,2015,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,13,260665807,POINT (-119.2958738 47.1384772),PUD NO 2 OF GRANT COUNTY,53025011102
JTDKAMFP8N,Whitman,Pullman,WA,99163,2022,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,9,227151375,POINT (-117.1770648 46.7329687),AVISTA CORP,53075000202
5YJ3E1EAXK,Snohomish,Everett,WA,98208,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,44,478398959,POINT (-122.2032349 47.8956271),PUGET SOUND ENERGY INC,53061041704
5YJ3E1EA2J,Kitsap,Port Orchard,WA,98366,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,26,280785123,POINT (-122.6064912 47.5236145),PUGET SOUND ENERGY INC,53035092400
5UXTS1C02M,King,Bellevue,WA,98005,2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,0,48,132708943,POINT (-122.167394 47.614119),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033023603
1N4AZ0CP5F,Snohomish,Everett,WA,98208,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,44,139779594,POINT (-122.2032349 47.8956271),PUGET SOUND ENERGY INC,53061052119
5YJ3E1EB9L,Snohomish,Lake Stevens,WA,98258,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,44,9647074,POINT (-122.0816912 48.0122934),PUGET SOUND ENERGY INC,53061052605
JN1AZ0CP9C,Skagit,Bow,WA,98232,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,40,207825362,POINT (-122.4202542 48.5607175),PUGET SOUND ENERGY INC,53057950801
JHMZC5F34L,Snohomish,Everett,WA,98208,2020,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,0,44,147062534,POINT (-122.2032349 47.8956271),PUGET SOUND ENERGY INC,53061041607
KNDJX3AEXH,Yakima,Moxee,WA,98936,2017,KIA,SOUL EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,32250,15,244989629,POINT (-120.3552229 46.550869),PACIFICORP,53077001702
JN1AZ0CP1B,Stevens,Colville,WA,99114,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,0,7,224165630,POINT (-117.885418 48.541035),AVISTA CORP,53065950200
